Parameters are p=33, r=0.6 and m=0.1
395,2,2.606060606060606
400,2,2.606060606060606
405,2,2.606060606060606
410,2,2.606060606060606
415,2,2.606060606060606
420,2,2.606060606060606
425,2,2.727272727272727
430,2,2.909090909090909
435,2,2.5454545454545454
440,2,62.96969696969697
445,2,2.484848484848485
450,2,2.606060606060606
455,2,2.6666666666666665
460,2,2.5454545454545454
465,2,2.5454545454545454
470,2,2.5454545454545454
475,2,2.727272727272727
480,2,2.4242424242424243
485,2,2.5454545454545454
490,2,2.6666666666666665
495,2,2.5454545454545454
500,2,2.6666666666666665
505,2,2.4242424242424243
510,2,2.6666666666666665
515,2,2.5454545454545454
520,2,3.212121212121212
525,2,2.303030303030303
530,2,2.5454545454545454
535,2,2.909090909090909
540,2,2.484848484848485
545,2,2.909090909090909
550,2,2.606060606060606
555,2,2.5454545454545454
560,2,2.303030303030303
565,2,2.6666666666666665
570,2,2.6666666666666665
575,2,63.15151515151515
580,2,2.4242424242424243
585,2,2.787878787878788
590,2,2.5454545454545454
595,2,2.5454545454545454
600,2,63.15151515151515
605,2,2.727272727272727
610,2,2.4242424242424243
615,2,2.6666666666666665
620,2,2.6666666666666665
625,2,63.15151515151515
630,2,2.6666666666666665
635,2,63.09090909090909
640,2,2.303030303030303
645,2,62.90909090909091
650,2,2.787878787878788
655,2,63.27272727272727
660,2,2.484848484848485
665,2,2.5454545454545454
670,2,2.787878787878788
675,2,2.4242424242424243
680,2,2.727272727272727
685,2,2.606060606060606
690,2,63.333333333333336
695,2,2.4242424242424243
700,2,2.4242424242424243
705,2,63.27272727272727
710,2,2.4242424242424243
715,2,2.3636363636363638
720,2,2.484848484848485
725,2,2.727272727272727
730,2,63.03030303030303
735,2,2.5454545454545454
740,2,63.03030303030303
745,2,2.6666666666666665
750,2,2.484848484848485
755,2,2.5454545454545454
760,2,63.15151515151515
765,2,2.484848484848485
770,2,2.4242424242424243
775,2,2.727272727272727
780,2,2.6666666666666665
785,2,2.606060606060606
790,2,2.5454545454545454
795,2,2.727272727272727
800,2,123.63636363636364
805,2,2.484848484848485
810,2,2.6666666666666665
815,2,2.4242424242424243
820,2,2.484848484848485
825,2,62.90909090909091
830,2,2.909090909090909
835,2,2.727272727272727
840,2,2.727272727272727
845,2,2.5454545454545454
850,2,2.303030303030303
855,2,2.4242424242424243
860,2,2.5454545454545454
865,2,2.4242424242424243
870,2,2.4242424242424243
875,2,3.0303030303030303
880,2,2.3636363636363638
885,2,63.03030303030303
890,2,2.787878787878788
895,2,123.33333333333333
900,2,2.606060606060606
905,2,2.6666666666666665
910,2,2.484848484848485
915,2,2.606060606060606
920,2,2.5454545454545454
925,2,2.484848484848485
930,2,2.4242424242424243
935,2,2.6666666666666665
940,2,2.727272727272727
945,2,2.5454545454545454
950,2,2.6666666666666665
955,2,2.787878787878788
960,2,2.484848484848485
965,2,2.606060606060606
970,2,2.606060606060606
975,2,2.909090909090909
980,2,2.6666666666666665
985,2,2.484848484848485
990,2,2.4242424242424243
995,2,2.6666666666666665
1000,2,2.787878787878788
1005,2,2.606060606060606
1010,2,2.727272727272727
1015,2,62.96969696969697
1020,2,2.484848484848485
1025,2,2.3636363636363638
1030,2,2.5454545454545454
1035,2,2.606060606060606
1040,2,2.606060606060606
1045,2,2.4242424242424243
1050,2,2.606060606060606
1055,2,63.03030303030303
1060,2,3.0303030303030303
1065,2,2.727272727272727
1070,2,2.4242424242424243
1075,2,2.484848484848485
1080,2,62.84848484848485
1085,2,3.090909090909091
1090,2,2.727272727272727
1095,2,2.5454545454545454
1100,2,2.4242424242424243
1105,2,2.727272727272727
1110,2,3.090909090909091
1115,2,2.4242424242424243
1120,2,2.8484848484848486
1125,2,2.6666666666666665
1130,2,2.606060606060606
1135,2,2.5454545454545454
1140,2,2.787878787878788
1145,2,2.484848484848485
1150,2,2.6666666666666665
1155,2,2.787878787878788
1160,2,2.606060606060606
1165,2,62.90909090909091
1170,2,2.5454545454545454
1175,2,2.5454545454545454
1180,2,63.333333333333336
1185,2,2.1818181818181817
1190,2,2.606060606060606
1195,2,63.15151515151515
1200,2,2.5454545454545454
1205,2,2.727272727272727
1210,2,62.96969696969697
1215,2,2.5454545454545454
1220,2,63.09090909090909
1225,2,2.6666666666666665
1230,2,2.5454545454545454
1235,2,2.6666666666666665
1240,2,2.606060606060606
1245,2,2.6666666666666665
1250,2,63.15151515151515
1255,2,2.3636363636363638
1260,2,2.727272727272727
1265,2,62.96969696969697
1270,2,63.03030303030303
1275,2,2.303030303030303
1280,2,2.606060606060606
1285,2,62.84848484848485
1290,2,2.484848484848485
1295,2,2.484848484848485
1300,2,2.727272727272727
1305,2,2.484848484848485
1310,2,2.5454545454545454
1315,2,2.6666666666666665
1320,2,2.5454545454545454
1325,2,2.5454545454545454
1330,2,2.5454545454545454
1335,2,62.96969696969697
1340,2,2.5454545454545454
1345,2,2.4242424242424243
1350,2,2.5454545454545454
1355,2,2.484848484848485
1360,2,2.787878787878788
1365,2,2.727272727272727
1370,2,62.90909090909091
1375,2,2.787878787878788
1380,2,2.606060606060606
1385,2,2.5454545454545454
1390,2,2.909090909090909
1395,2,62.96969696969697
1400,2,2.606060606060606
1405,2,62.78787878787879
1410,2,2.727272727272727
1415,2,2.3636363636363638
1420,2,2.8484848484848486
1425,2,2.484848484848485
1430,2,2.484848484848485
1435,2,2.787878787878788
1440,2,2.484848484848485
1445,2,2.4242424242424243
1450,2,2.8484848484848486
1455,2,2.787878787878788
1460,2,2.242424242424242
1465,2,2.727272727272727
1470,2,2.909090909090909
1475,2,2.8484848484848486
1480,2,63.09090909090909
1485,2,63.21212121212121
1490,2,2.606060606060606
1495,2,2.5454545454545454
1500,2,2.6666666666666665
1505,2,2.5454545454545454
1510,2,2.484848484848485
1515,2,2.606060606060606
1520,2,2.484848484848485
1525,2,2.606060606060606
1530,2,2.484848484848485
1535,2,123.33333333333333
1540,2,63.03030303030303
1545,2,2.787878787878788
1550,2,2.6666666666666665
1555,2,2.8484848484848486
1560,2,63.03030303030303
1565,2,2.5454545454545454
1570,2,2.5454545454545454
1575,2,2.787878787878788
1580,2,2.484848484848485
1585,2,2.606060606060606
1590,2,62.84848484848485
1595,2,2.909090909090909
1600,2,2.4242424242424243
1605,2,62.90909090909091
1610,2,2.606060606060606
1615,2,2.484848484848485
1620,2,2.4242424242424243
1625,2,62.96969696969697
1630,2,2.6666666666666665
1635,2,123.63636363636364
1640,2,2.787878787878788
1645,2,2.484848484848485
1650,2,2.909090909090909
1655,2,2.606060606060606
1660,2,2.484848484848485
1665,2,2.606060606060606
1670,2,2.303030303030303
1675,2,2.4242424242424243
1680,2,2.787878787878788
1685,2,2.8484848484848486
1690,2,2.4242424242424243
1695,2,2.4242424242424243
1700,2,62.96969696969697
1705,2,2.3636363636363638
1710,2,2.5454545454545454
1715,2,2.484848484848485
1720,2,2.606060606060606
1725,2,2.727272727272727
1730,2,2.6666666666666665
1735,2,62.96969696969697
1740,2,63.21212121212121
1745,2,3.090909090909091
1750,2,2.6666666666666665
1755,2,2.727272727272727
1760,2,62.78787878787879
1765,2,62.84848484848485
1770,2,2.3636363636363638
1775,2,2.6666666666666665
1780,2,2.4242424242424243
1785,2,2.727272727272727
1790,2,2.5454545454545454
1795,2,2.606060606060606
1800,2,2.484848484848485
1805,2,3.0303030303030303
1810,2,123.39393939393939
1815,2,3.0303030303030303
1820,2,2.6666666666666665
1825,2,2.3636363636363638
1830,2,2.484848484848485
1835,2,2.909090909090909
1840,2,2.4242424242424243
1845,2,2.5454545454545454
1850,2,2.606060606060606
1855,2,2.5454545454545454
1860,2,2.484848484848485
1865,2,2.727272727272727
1870,2,62.84848484848485
1875,2,2.727272727272727
1880,2,2.9696969696969697
1885,2,2.6666666666666665
1890,2,2.6666666666666665
1895,2,2.909090909090909
1900,2,2.4242424242424243
1905,2,2.5454545454545454
1910,2,2.727272727272727
1915,2,2.3636363636363638
1920,2,2.909090909090909
1925,2,2.484848484848485
1930,2,2.606060606060606
1935,2,2.5454545454545454
1940,2,2.6666666666666665
1945,2,2.3636363636363638
1950,2,2.727272727272727
1955,2,2.606060606060606
1960,2,2.606060606060606
1965,2,2.484848484848485
1970,2,2.303030303030303
1975,2,2.484848484848485
1980,2,2.484848484848485
1985,2,2.6666666666666665
1990,2,2.606060606060606
1995,2,2.4242424242424243
2000,2,2.787878787878788
2005,2,2.8484848484848486
2010,2,2.484848484848485
2015,2,2.787878787878788
2020,2,2.3636363636363638
2025,2,2.4242424242424243
2030,2,2.4242424242424243
2035,2,2.484848484848485
2040,2,2.727272727272727
2045,2,2.484848484848485
2050,2,2.5454545454545454
2055,2,2.9696969696969697
2060,2,62.96969696969697
2065,2,2.5454545454545454
2070,2,2.6666666666666665
2075,2,2.606060606060606
2080,2,2.8484848484848486
2085,2,2.6666666666666665
2090,2,62.84848484848485
2095,2,2.4242424242424243
2100,2,2.484848484848485
2105,2,2.6666666666666665
2110,2,2.727272727272727
2115,2,2.606060606060606
2120,2,2.8484848484848486
2125,2,2.727272727272727
2130,2,2.6666666666666665
2135,2,2.6666666666666665
2140,2,2.5454545454545454
2145,2,2.787878787878788
2150,2,62.78787878787879
2155,2,2.8484848484848486
2160,2,2.727272727272727
2165,2,2.727272727272727
2170,2,2.606060606060606
2175,2,3.090909090909091
2180,2,2.3636363636363638
2185,2,2.4242424242424243
2190,2,2.5454545454545454
2195,2,2.5454545454545454
2200,2,2.6666666666666665
2205,2,2.606060606060606
2210,2,2.787878787878788
2215,2,2.6666666666666665
2220,2,2.3636363636363638
2225,2,2.5454545454545454
2230,2,2.303030303030303
2235,2,2.787878787878788
2240,2,2.5454545454545454
2245,2,2.6666666666666665
2250,2,2.909090909090909
2255,2,2.4242424242424243
2260,2,2.606060606060606
2265,2,2.606060606060606
2270,2,2.8484848484848486
2275,2,2.6666666666666665
2280,2,2.242424242424242
2285,2,2.787878787878788
2290,2,2.484848484848485
2295,2,2.6666666666666665
2300,2,2.6666666666666665
2305,2,2.606060606060606
2310,2,2.727272727272727
2315,2,2.787878787878788
2320,2,2.4242424242424243
2325,2,2.5454545454545454
2330,2,2.606060606060606
2335,2,2.484848484848485
2340,2,2.727272727272727
2345,2,2.727272727272727
2350,2,2.4242424242424243
2355,2,2.4242424242424243
2360,2,2.484848484848485
2365,2,2.5454545454545454
2370,2,2.606060606060606
2375,2,2.4242424242424243
2380,2,2.4242424242424243
2385,2,2.5454545454545454
2390,2,2.909090909090909
2395,2,2.606060606060606
2400,2,2.5454545454545454
2405,2,2.5454545454545454
2410,2,2.727272727272727
2415,2,2.6666666666666665
2420,2,2.5454545454545454
2425,2,2.6666666666666665
2430,2,2.5454545454545454
2435,2,2.5454545454545454
2440,2,2.3636363636363638
2445,2,2.787878787878788
2450,2,2.8484848484848486
2455,2,2.5454545454545454
2460,2,2.6666666666666665
2465,2,2.303030303030303
2470,2,2.484848484848485
2475,2,2.606060606060606
2480,2,2.6666666666666665
2485,2,2.727272727272727
2490,2,2.5454545454545454
2495,2,2.8484848484848486
2500,2,2.606060606060606
2505,2,2.8484848484848486
2510,2,2.727272727272727
2515,2,2.606060606060606
2520,2,2.5454545454545454
2525,2,2.727272727272727
2530,2,2.8484848484848486
2535,2,2.787878787878788
2540,2,2.727272727272727
2545,2,2.6666666666666665
2550,2,2.727272727272727
2555,2,2.484848484848485
2560,2,2.484848484848485
2565,2,63.15151515151515
2570,2,2.9696969696969697
2575,2,2.5454545454545454
2580,2,2.6666666666666665
2585,2,62.90909090909091
2590,2,3.090909090909091
2595,2,2.6666666666666665
2600,2,2.787878787878788
2605,2,2.5454545454545454
2610,2,2.5454545454545454
2615,2,2.6666666666666665
2620,2,2.787878787878788
2625,2,2.6666666666666665
2630,2,62.84848484848485
2635,2,2.606060606060606
2640,2,2.606060606060606
2645,2,2.5454545454545454
2650,2,62.78787878787879
2655,2,2.3636363636363638
2660,2,63.15151515151515
2665,2,2.242424242424242
2670,2,2.606060606060606
2675,2,2.5454545454545454
2680,2,62.96969696969697
2685,2,63.09090909090909
2690,2,2.6666666666666665
2695,2,2.6666666666666665
2700,2,2.4242424242424243
2705,2,2.727272727272727
2710,2,2.606060606060606
2715,2,2.606060606060606
2720,2,2.727272727272727
2725,2,2.606060606060606
2730,2,2.727272727272727
2735,2,2.787878787878788
2740,2,2.727272727272727
2745,2,2.4242424242424243
2750,2,2.5454545454545454
2755,2,2.606060606060606
2760,2,2.6666666666666665
2765,2,3.212121212121212
2770,2,63.27272727272727
2775,2,2.6666666666666665
2780,2,2.9696969696969697
2785,2,2.3636363636363638
2790,2,3.212121212121212
2795,2,2.606060606060606
2800,2,2.4242424242424243
2805,2,2.5454545454545454
2810,2,63.27272727272727
2815,2,2.4242424242424243
2820,2,2.6666666666666665
2825,2,2.787878787878788
2830,2,2.5454545454545454
2835,2,2.484848484848485
2840,2,2.484848484848485
2845,2,2.4242424242424243
2850,2,2.4242424242424243
2855,2,2.303030303030303
2860,2,2.242424242424242
2865,2,2.6666666666666665
2870,2,2.3636363636363638
2875,2,2.5454545454545454
2880,2,2.484848484848485
2885,2,2.484848484848485
2890,2,62.90909090909091
2895,2,2.484848484848485
2900,2,2.5454545454545454
2905,2,2.787878787878788
2910,2,2.484848484848485
2915,2,2.606060606060606
2920,2,2.3636363636363638
2925,2,2.606060606060606
2930,2,62.78787878787879
2935,2,2.727272727272727
2940,2,2.606060606060606
2945,2,2.484848484848485
2950,2,2.5454545454545454
2955,2,2.484848484848485
2960,2,2.484848484848485
2965,2,3.0303030303030303
2970,2,2.484848484848485
2975,2,62.84848484848485
2980,2,2.5454545454545454
2985,2,2.8484848484848486
2990,2,2.5454545454545454
2995,2,2.5454545454545454
3000,2,2.5454545454545454
3005,2,2.727272727272727
3010,2,2.242424242424242
3015,2,2.727272727272727
3020,2,2.606060606060606
3025,2,2.5454545454545454
3030,2,2.606060606060606
3035,2,2.787878787878788
3040,2,2.787878787878788
3045,2,2.606060606060606
3050,2,2.484848484848485
3055,2,2.484848484848485
3060,2,2.606060606060606
3065,2,2.484848484848485
3070,2,2.5454545454545454
3075,2,2.606060606060606
3080,2,2.4242424242424243
3085,2,2.484848484848485
3090,2,2.242424242424242
3095,2,2.606060606060606
3100,2,2.5454545454545454
3105,2,2.606060606060606
3110,2,2.484848484848485
3115,2,2.4242424242424243
3120,2,2.5454545454545454
3125,2,2.4242424242424243
3130,2,2.5454545454545454
3135,2,2.4242424242424243
3140,2,2.606060606060606
3145,2,2.6666666666666665
3150,2,2.484848484848485
3155,2,2.727272727272727
3160,2,2.5454545454545454
3165,2,2.606060606060606
3170,2,2.5454545454545454
3175,2,2.6666666666666665
3180,2,2.787878787878788
3185,2,2.8484848484848486
3190,2,2.6666666666666665
3195,2,2.4242424242424243
3200,2,2.484848484848485
3205,2,2.4242424242424243
3210,2,2.606060606060606
3215,2,2.6666666666666665
3220,2,2.4242424242424243
3225,2,2.787878787878788
3230,2,2.3636363636363638
3235,2,3.0303030303030303
3240,2,2.6666666666666665
3245,2,2.484848484848485
3250,2,2.4242424242424243
3255,2,2.4242424242424243
3260,2,2.484848484848485
3265,2,2.3636363636363638
3270,2,2.5454545454545454
3275,2,2.3636363636363638
3280,2,2.727272727272727
3285,2,2.6666666666666665
3290,2,2.727272727272727
3295,2,2.4242424242424243
3300,2,2.3636363636363638
3305,2,2.5454545454545454
3310,2,2.6666666666666665
3315,2,2.727272727272727
3320,2,2.909090909090909
3325,2,2.4242424242424243
3330,2,2.787878787878788
3335,2,2.606060606060606
3340,2,2.5454545454545454
3345,2,2.484848484848485
3350,2,63.21212121212121
3355,2,2.3636363636363638
3360,2,2.787878787878788
3365,2,2.4242424242424243
3370,2,2.6666666666666665
3375,2,62.96969696969697
3380,2,2.3636363636363638
3385,2,2.909090909090909
3390,2,2.6666666666666665
3395,2,2.4242424242424243
3400,2,2.606060606060606
3405,2,2.606060606060606
3410,2,2.8484848484848486
3415,2,2.787878787878788
3420,2,2.6666666666666665
3425,2,2.303030303030303
3430,2,2.484848484848485
3435,2,2.787878787878788
3440,2,2.4242424242424243
3445,2,2.727272727272727
3450,2,2.5454545454545454
3455,2,2.606060606060606
3460,2,2.484848484848485
3465,2,2.5454545454545454
3470,2,2.484848484848485
3475,2,2.606060606060606
3480,2,2.727272727272727
3485,2,2.6666666666666665
3490,2,2.8484848484848486
3495,2,2.8484848484848486
3500,2,2.787878787878788
3505,2,2.8484848484848486
3510,2,2.3636363636363638
3515,2,2.6666666666666665
3520,2,2.6666666666666665
3525,2,2.5454545454545454
3530,2,2.484848484848485
3535,2,2.484848484848485
3540,2,2.606060606060606
3545,2,2.4242424242424243
3550,2,2.4242424242424243
3555,2,2.606060606060606
3560,2,2.5454545454545454
3565,2,2.5454545454545454
3570,2,2.4242424242424243
3575,2,2.3636363636363638
3580,2,2.5454545454545454
3585,2,2.6666666666666665
3590,2,2.3636363636363638
3595,2,2.484848484848485
3600,2,2.727272727272727
3605,2,2.909090909090909
3610,2,2.6666666666666665
3615,2,2.606060606060606
3620,2,2.5454545454545454
3625,2,2.5454545454545454
3630,2,2.3636363636363638
3635,2,2.6666666666666665
3640,2,2.484848484848485
3645,2,2.4242424242424243
3650,2,2.787878787878788
3655,2,2.606060606060606
3660,2,2.3636363636363638
3665,2,2.3636363636363638
3670,2,2.727272727272727
3675,2,2.787878787878788
3680,2,2.5454545454545454
3685,2,2.4242424242424243
3690,2,2.6666666666666665
3695,2,2.727272727272727
3700,2,2.4242424242424243
3705,2,2.5454545454545454
3710,2,2.5454545454545454
3715,2,2.787878787878788
3720,2,2.606060606060606
3725,2,2.4242424242424243
3730,2,2.727272727272727
3735,2,2.5454545454545454
3740,2,2.6666666666666665
3745,2,2.5454545454545454
3750,2,2.4242424242424243
3755,2,2.606060606060606
3760,2,2.787878787878788
3765,2,2.303030303030303
3770,2,2.4242424242424243
3775,2,2.5454545454545454
3780,2,2.6666666666666665
3785,2,2.484848484848485
3790,2,2.484848484848485
3795,2,2.6666666666666665
3800,2,2.8484848484848486
3805,2,2.606060606060606
3810,2,2.6666666666666665
3815,2,2.4242424242424243
3820,2,2.4242424242424243
3825,2,2.606060606060606
3830,2,2.787878787878788
3835,2,2.6666666666666665
3840,2,2.606060606060606
3845,2,2.909090909090909
3850,2,2.484848484848485
3855,2,2.484848484848485
3860,2,2.4242424242424243
3865,2,2.484848484848485
3870,2,2.5454545454545454
3875,2,2.5454545454545454
3880,2,2.6666666666666665
3885,2,2.6666666666666665
3890,2,2.727272727272727
3895,2,2.484848484848485
3900,2,2.6666666666666665
3905,2,2.4242424242424243
3910,2,2.6666666666666665
3915,2,2.5454545454545454
3920,2,2.606060606060606
3925,2,2.5454545454545454
3930,2,2.4242424242424243
3935,2,2.303030303030303
3940,2,2.5454545454545454
3945,2,2.5454545454545454
3950,2,2.484848484848485
3955,2,2.484848484848485
3960,2,2.606060606060606
3965,2,2.606060606060606
3970,2,2.5454545454545454
3975,2,2.6666666666666665
3980,2,2.5454545454545454
3985,2,2.909090909090909
3990,2,2.6666666666666665
3995,2,2.727272727272727
4000,2,2.5454545454545454
4005,2,63.03030303030303
4010,2,63.39393939393939
4015,2,2.909090909090909
4020,2,2.4242424242424243
4025,2,2.727272727272727
4030,2,2.484848484848485
4035,2,2.5454545454545454
4040,2,2.606060606060606
4045,2,2.5454545454545454
4050,2,2.606060606060606
4055,2,63.09090909090909
4060,2,2.606060606060606
4065,2,63.09090909090909
4070,2,2.727272727272727
4075,2,2.606060606060606
4080,2,2.5454545454545454
4085,2,2.606060606060606
4090,2,2.484848484848485
4095,2,62.84848484848485
4100,2,2.5454545454545454
4105,2,2.6666666666666665
4110,2,2.484848484848485
4115,2,2.4242424242424243
4120,2,2.606060606060606
4125,2,2.6666666666666665
4130,2,2.4242424242424243
4135,2,63.09090909090909
4140,2,2.5454545454545454
4145,2,2.484848484848485
4150,2,3.090909090909091
4155,2,2.4242424242424243
4160,2,2.5454545454545454
4165,2,2.606060606060606
4170,2,2.484848484848485
4175,2,2.6666666666666665
4180,2,2.4242424242424243
4185,2,2.727272727272727
4190,2,62.96969696969697
4195,2,2.6666666666666665
4200,2,63.09090909090909
4205,2,3.0303030303030303
4210,2,2.787878787878788
4215,2,2.606060606060606
4220,2,2.1818181818181817
4225,2,2.6666666666666665
4230,2,2.484848484848485
4235,2,2.4242424242424243
4240,2,2.484848484848485
4245,2,2.606060606060606
4250,2,2.484848484848485
4255,2,2.5454545454545454
4260,2,2.3636363636363638
4265,2,2.6666666666666665
4270,2,2.484848484848485
4275,2,2.4242424242424243
4280,2,2.787878787878788
4285,2,2.606060606060606
4290,2,2.606060606060606
4295,2,2.727272727272727
4300,2,2.484848484848485
4305,2,2.6666666666666665
4310,2,2.606060606060606
4315,2,2.484848484848485
4320,2,2.4242424242424243
4325,2,2.8484848484848486
4330,2,2.4242424242424243
4335,2,2.484848484848485
4340,2,2.909090909090909
4345,2,2.606060606060606
4350,2,2.4242424242424243
4355,2,2.6666666666666665
4360,2,2.606060606060606
4365,2,2.242424242424242
4370,2,2.3636363636363638
4375,2,2.787878787878788
4380,2,2.5454545454545454
4385,2,2.8484848484848486
4390,2,2.909090909090909
4395,2,2.6666666666666665
4400,2,2.4242424242424243
4405,2,2.9696969696969697
4410,2,2.484848484848485
4415,2,2.6666666666666665
4420,2,2.5454545454545454
4425,2,2.727272727272727
4430,2,2.5454545454545454
4435,2,2.727272727272727
4440,2,2.6666666666666665
4445,2,2.5454545454545454
4450,2,2.484848484848485
4455,2,2.484848484848485
4460,2,2.484848484848485
4465,2,2.484848484848485
4470,2,2.606060606060606
4475,2,2.4242424242424243
4480,2,2.484848484848485
4485,2,2.727272727272727
4490,2,2.727272727272727
4495,2,2.484848484848485
4500,2,2.606060606060606
4505,2,2.5454545454545454
4510,2,2.8484848484848486
4515,2,2.606060606060606
4520,2,2.787878787878788
4525,2,2.606060606060606
4530,2,3.0303030303030303
4535,2,2.727272727272727
4540,2,2.727272727272727
4545,2,2.5454545454545454
4550,2,2.6666666666666665
4555,2,2.4242424242424243
4560,2,2.242424242424242
4565,2,2.1818181818181817
4570,2,2.787878787878788
4575,2,2.8484848484848486
4580,2,2.606060606060606
4585,2,2.6666666666666665
4590,2,2.606060606060606
4595,2,63.15151515151515
4600,2,2.6666666666666665
4605,2,2.1818181818181817
4610,2,2.6666666666666665
4615,2,2.606060606060606
4620,2,3.0303030303030303
4625,2,2.4242424242424243
4630,2,2.5454545454545454
4635,2,2.5454545454545454
4640,2,2.303030303030303
4645,2,2.3636363636363638
4650,2,2.3636363636363638
4655,2,2.4242424242424243
4660,2,2.5454545454545454
4665,2,2.4242424242424243
4670,2,2.727272727272727
4675,2,2.727272727272727
4680,2,2.5454545454545454
4685,2,2.606060606060606
4690,2,2.5454545454545454
4695,2,2.242424242424242
4700,2,2.4242424242424243
4705,2,2.4242424242424243
4710,2,2.5454545454545454
4715,2,2.6666666666666665
4720,2,2.727272727272727
4725,2,63.333333333333336
4730,2,2.484848484848485
4735,2,2.8484848484848486
4740,2,2.5454545454545454
4745,2,2.3636363636363638
4750,2,2.909090909090909
4755,2,2.5454545454545454
4760,2,2.909090909090909
4765,2,3.1515151515151514
4770,2,2.3636363636363638
4775,2,2.484848484848485
4780,2,2.606060606060606
4785,2,2.606060606060606
4790,2,2.6666666666666665
4795,2,2.727272727272727
4800,2,2.484848484848485
4805,2,2.4242424242424243
4810,2,2.6666666666666665
4815,2,2.484848484848485
4820,2,2.303030303030303
4825,2,2.8484848484848486
4830,2,2.484848484848485
4835,2,2.909090909090909
4840,2,2.6666666666666665
4845,2,2.787878787878788
4850,2,2.606060606060606
4854,0,2.3636363636363638